Model,ROUGE-1,ROUGE-2,ROUGE-L
t5-small,0.1368819093778083,0.03587390888142768,0.1013491259241718
facebook/bart-base,0.12359555282867217,0.033952621452621456,0.11634426352299343
google/pegasus-xsum,0.1018413778642463,0.04629785904047508,0.0922247812255908
allenai/led-base-16384,0.1643073826807842,0.06853571428571428,0.15216557734204794
